base_width,schedule,batch_size,parameters,step_seconds,windows_per_second,peak_allocated_gib,peak_reserved_gib,status
96,96-192-384-768,256,6962152,0.16266945493407547,1573.743516284285,1.4487719535827637,2.251953125,ok
128,128-256-512-1024,256,12286024,0.25752236996777356,994.0883971828774,2.0691633224487305,3.1171875,ok
160,160-320-640-1280,256,19121320,0.39688926294911653,645.0161893969419,2.771608829498291,4.044921875,ok
192,192-384-768-1536,256,27468040,0.5427302365424111,471.68921641607324,3.557741165161133,5.048828125,ok
224,224-448-896-1792,256,37326184,0.7312862060498446,350.0681373204392,4.417970180511475,6.16796875,ok
256,256-512-1024-2048,256,48695752,0.9243133674608544,276.96234741605844,5.357491493225098,7.3515625,ok
288,288-576-1152-2304,256,61576744,1.1772764670895413,217.45104667969989,6.387535572052002,8.6640625,ok
320,320-640-1280-2560,256,75969160,1.4338167475070804,178.54443424872593,7.4939422607421875,10.037109375,ok
384,384-768-1536-3072,256,109288264,1.9675523444311693,130.11089678227142,9.126482486724854,9.146484375,ok
448,448-896-1792-3584,256,148653064,2.7567739594960585,92.86216561868464,8.115075588226318,9.984375,ok
512,512-1024-2048-4096,256,194063560,3.4643575875088573,73.89537411583541,9.87299108505249,10.548828125,ok
96,96-192-384-768,128,6962152,0.07625923200976104,1678.485301079563,0.6870107650756836,0.9296875,ok
128,128-256-512-1024,128,12286024,0.12643760652281344,1012.3570314256515,0.9528865814208984,1.23828125,ok
160,160-320-640-1280,128,19121320,0.1956682944437489,654.1683227928257,1.302485466003418,1.646484375,ok
192,192-384-768-1536,128,27468040,0.26921763457357883,475.45176675644854,1.6090645790100098,1.958984375,ok
224,224-448-896-1792,128,37326184,0.3602179765002802,355.3404003975366,2.0244059562683105,2.40625,ok
256,256-512-1024-2048,128,48695752,0.45653073699213564,280.3754262929398,2.3933095932006836,2.76953125,ok
288,288-576-1152-2304,128,61576744,0.5812745285220444,220.20576116668028,2.8780479431152344,3.2890625,ok
320,320-640-1280-2560,128,75969160,0.7092737124767154,180.4662963653853,3.3158907890319824,3.7265625,ok
384,384-768-1536-3072,128,109288264,1.0106932314811274,126.64574770370383,4.3624420166015625,5.76953125,ok
448,448-896-1792-3584,128,148653064,1.387366684502922,92.2611169994045,5.542088031768799,7.33203125,ok
512,512-1024-2048-4096,128,194063560,1.7757906605256721,72.08056830421062,6.849320411682129,8.95703125,ok
96,96-192-384-768,64,6962152,0.039656375418417156,1613.8640842671973,0.38437557220458984,0.470703125,ok
128,128-256-512-1024,64,12286024,0.06464740948285908,989.9855309278753,0.5281939506530762,0.642578125,ok
160,160-320-640-1280,64,19121320,0.10017803846858442,638.8625788482597,0.7108707427978516,0.841796875,ok
192,192-384-768-1536,64,27468040,0.13732505647931248,466.04750539200666,0.905515193939209,1.033203125,ok
224,224-448-896-1792,64,37326184,0.18335922458209097,349.0416156910984,1.1285386085510254,1.2890625,ok
256,256-512-1024-2048,64,48695752,0.23313012951985002,274.52479064723667,1.3681507110595703,1.453125,ok
288,288-576-1152-2304,64,61576744,0.29801065602805465,214.75742127145634,1.6496586799621582,1.9140625,ok
320,320-640-1280-2560,64,75969160,0.36705434252507985,174.36110293566966,1.9503669738769531,2.22265625,ok
384,384-768-1536-3072,64,109288264,0.5223581510363147,122.52130051580392,2.539246082305908,2.814453125,ok
448,448-896-1792-3584,64,148653064,0.7016167619731277,91.21788912228301,3.2899346351623535,3.92578125,ok
512,512-1024-2048-4096,64,194063560,0.8968447895022109,71.36128876382598,4.043822288513184,4.826171875,ok
